SrNo,NIMS_ID,k,tigerid,OPERATI+E:MONAL_CUSTOMER_REPC,REPC_SERVICE_ABBR,CIRCUIT_ISSUE_DATE,,pending_with,reason_of_pending,CRFS date,Config date,Pending,Assigned,testing date,TAT for testing
2586,9ZVX-S44X 100M001,Cancel,806112,21166 - CONTROL CIRCLE LTD.,GLOBETH,01-12-2015 12:57:13,PRATPAND,PM,,30 Dec 99,,Complete,Amol,,
2587,DIWX-W1UX 1S002,Cancel,804112,21131 - DISHNET WIRELESS,GSM,01-12-2015 13:39:59,PRATPAND,,,,4 Dec 15,Complete,Saurabh.A,,
2588,0UIX-FB2X VC3S0001,Cancel,807066,7104 - ROSTELECOM PJSC,GSM,01-12-2015 13:51:12,AKARMUR,SDCNOC,,30 Dec 99,30 Dec 15,Complete,Saurabh.A,,
2589,GR8X-N0VX 1T3,Provide,799206,"11786 - GRAPHNET, INC.",VTS,01-12-2015 13:52:16,PMORASAK,,to be cancelled after migration,,,Complete,Rohan,,
2590,3EVX-DVSX 10G0002,Reroute,794285,25062 - TATA - BB IP6453,*N/A*,01-12-2015 13:54:14,ASHANDHA,,,,,Complete,Amol,,
2591,GR8X-MTTX 24N001,Provide,799206,"11786 - GRAPHNET, INC.",VTS,01-12-2015 13:54:57,PMORASAK,,to be cancelled after migration,,,Complete,Rohan,,
2592,GR8X-MTTX 24N002,Provide,799206,"11786 - GRAPHNET, INC.",VTS,01-12-2015 13:55:13,PMORASAK,,to be cancelled after migration,,,Complete,Rohan,,
2593,GR8X-MTTX 24N003,Provide,799206,"11786 - GRAPHNET, INC.",VTS,01-12-2015 13:55:26,PMORASAK,,to be cancelled after migration,,,Complete,Rohan,,
2594,GR8X-MTTX 24N004,Provide,799206,"11786 - GRAPHNET, INC.",VTS,01-12-2015 13:55:39,PMORASAK,,to be cancelled after migration,,,Complete,Rohan,,
2595,GR8X-MTTX 24N005,Provide,799206,"11786 - GRAPHNET, INC.",VTS,01-12-2015 13:55:53,PMORASAK,,to be cancelled after migration,,,Complete,Rohan,,
2596,GR8X-MTTX 24N006,Provide,799206,"11786 - GRAPHNET, INC.",VTS,01-12-2015 13:56:07,PMORASAK,,to be cancelled after migration,,,Complete,Rohan,,
2597,GR8X-MTTX 24N007,Provide,799206,"11786 - GRAPHNET, INC.",VTS,01-12-2015 13:56:20,PMORASAK,,to be cancelled after migration,,,Complete,Rohan,,
2598,GR8X-MTTX 24N008,Provide,799206,"11786 - GRAPHNET, INC.",VTS,01-12-2015 13:56:34,PMORASAK,,to be cancelled after migration,,,Complete,Rohan,,
2599,GR8X-MTTX 24N009,Provide,799206,"11786 - GRAPHNET, INC.",VTS,01-12-2015 13:56:48,PMORASAK,,to be cancelled after migration,,,Complete,Rohan,,
2600,63GX-N0VX 1G0001,Provide,783426,28855 - FORMULA ONE MANAGEMENT LTD,GLOBETH,01-12-2015 14:24:13,YSOMI,,,,,Complete,Saurabh.G,,
2601,NJYX-WV1X BVID0905P,Provide,800110,25700 - TATA - BB ETHERNET.,*N/A*,01-12-2015 14:48:18,AVIPATIL,,,,,Complete,Amol,,
2602,N9YX-YL1X 30N0010,Provide,805513,11732 - DIGI TELECOMMUNICATIONS SDN. BHD.,VTS,02-12-2015 07:00:51,ANVERMA,,,,,Complete,Rohan,,
2603,N9YX-YL1X 30N0011,Provide,805513,11732 - DIGI TELECOMMUNICATIONS SDN. BHD.,VTS,02-12-2015 07:03:38,ANVERMA,,,,,Complete,Rohan,,
2604,N9YX-YL1X 30N0012,Provide,805513,11732 - DIGI TELECOMMUNICATIONS SDN. BHD.,VTS,02-12-2015 07:03:51,ANVERMA,,,,,Complete,Rohan,,
2605,N9YX-YL1X 30N0013,Provide,805513,11732 - DIGI TELECOMMUNICATIONS SDN. BHD.,VTS,02-12-2015 07:04:05,ANVERMA,,,,,Complete,Rohan,,
2606,N9YX-YL1X 30N0014,Provide,805513,11732 - DIGI TELECOMMUNICATIONS SDN. BHD.,VTS,02-12-2015 07:04:18,ANVERMA,,,,,Complete,Rohan,,
